"IMAGE",FILE","ERROR"
"liquibase:latest","/opt/java/openjdk/bin/jfr","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/bin/jrunscript","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/bin/keytool","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/bin/rmiregistry","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/jexec","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/jspawnhelper","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libawt.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libawt_headless.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libawt_xawt.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libdt_socket.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libextnet.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libfontmanager.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libinstrument.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libj2gss.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libj2pcsc.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libj2pkcs11.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjaas.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjava.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjavajpeg.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjawt.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjdwp.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjimage.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjli.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjsig.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjsound.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libjsvml.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/liblcms.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libmanagement.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libmanagement_agent.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libmanagement_ext.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libmlib_image.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libnet.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libnio.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libprefs.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/librmi.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libsctp.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libsplashscreen.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libsyslookup.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libverify.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/libzip.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/server/libjsig.so","no package identified in executable file"
"liquibase:latest","/opt/java/openjdk/lib/server/libjvm.so","no package identified in executable file"
